Date,Type,Track,Car,Laps,Total Distance (mi),Fastest Lap,Max Speed,Quali Pos,Race Pos,Notes,
5/3/2025,Quali,PittRace,1999 NB Miata,8,22.24,2:15.256,,,,"STL - Wet track, with scuffed slicks",
5/3/2025,Quali,PittRace,1999 NB Miata,7,19.46,2:10.902,,,,SM - Drying track with same scuffed tires,
5/3/2025,Race,PittRace,1999 NB Miata,15,41.70,2:19.191,,,5,STL - progressively wetter track with used slicks),
5/3/2025,Race,PittRace,1999 NB Miata,15,41.70,2:17.202,,,7,"SM - Wet track with older, used rain tires",
5/4/2025,Race,PittRace,1999 NB Miata,14,38.92,2:10.908,,,7,STL - Drying track with used slicks,
5/4/2025,Race,PittRace,1999 NB Miata,19,52.82,2:12.543,,,8,SM - mixed conditions with used slicks,
5/30/2025,Practice,MMC (South),1999 NB Miata,12,19.20,1:21.983,,,,,
5/30/2025,Race,MMC (South),1999 NB Miata,16,25.60,1:21.691,,11,7,"""Wrong shoes"". No feeling!",
5/30/2025,Race,MMC (South),1999 NB Miata,16,25.60,1:21.649,,11,6,"""wrong shoes"". No feeling!",
5/30/2025,Race,MMC (South),1999 NB Miata,,,,,,,,
6/15/2025,Practice,MMC,2025 Revolution 500 EVO,40,144.00,2:24.2,,,,,
6/27/2025,Practice,Watkins Glen,1999 NB Miata,8,27.60,2:19.422,,,,SM,
6/27/2025,Practice,Watkins Glen,1999 NB Miata,7,24.15,2:20.677,,,,STL,
6/27/2025,Quali,Watkins Glen,1999 NB Miata,8,27.60,2:20.65,,25,,"SM - Terrible Quali. Tried linking with Bob Mueller, but we couldn't coordinate. Then dropped back to try to wait for another group and session was black-flagged early",
6/27/2025,Quali,Watkins Glen,1999 NB Miata,13,44.85,2:20.037,,8,,STL,
6/28/2025,Quali,Watkins Glen,1999 NB Miata,8,27.60,2:17.811,,14,,"SM - Head full of steam, had to pass a lot of cars to get into a good group. Never settled into a single group, but was able to use multiple groups to slingshot forward.",
6/28/2025,Race,Watkins Glen,1999 NB Miata,16,55.20,2:18.372,,14,12,"SM - decent, but tough race with Bob Mueller and Domenico. They coordinated to get passed and I never made the positions back.",
6/28/2025,Race,Watkins Glen,1999 NB Miata,15,51.75,2:20.465,,8,6,STL,
6/29/2025,Race,Watkins Glen,1999 NB Miata,18,62.10,2:17.603,,14,15,SM - terrible race start. Was able to gain some positions back and hold.,
9/5/2025,Practice,MMC (South),1999 NB Miata,9,14.40,1:23.177,,,,"Toyo's... Also, cut session short to check temp sensor",
9/5/2025,Race,MMC (South),1999 NB Miata,15,24.00,1:22.270,,,,Toyo's are terrible...,
9/5/2025,Race,MMC (South),1999 NB Miata,16,25.60,1:22.692,,,,Toyo's....,
9/5/2025,Race,MMC (South),1999 NB Miata,12,19.20,1:23.131,,,,Toyo's....,
9/14/2025,Quali,Watkins Glen - Short,1999 NB Miata,8,19.60,1:33.458,,9,,"STL - Not a great Quali. New bus stop and first time on short course. Insane amount of traffic. Very mixed class, from STU to B-Spec caused really bad traffic",
9/14/2025,Quali,Watkins Glen - Short,1999 NB Miata,7,17.15,1:31.748,,12,,SM - Quali ended early. No strong lap,
9/14/2025,Race,Watkins Glen - Short,1999 NB Miata,12,29.40,1:31.475,,9,3,STL - crazy race. Very mixed class caused many wrecks. ,
9/14/2025,Race,Watkins Glen - Short,1999 NB Miata,17,41.65,1:30.152,,12,4,"SM - starting from 12th, was a good effort. Cefalo, Leverone and Ciufo ahead, and were in a class of their own. ",
9/29/2025,Practice,Road America,1999 NB Miata,10,40.48,2:48.346,,,,Old Tires,
9/29/2025,Practice,Road America,1999 NB Miata,6,24.29,2:49.546,,,,Flat tire (FR),
9/29/2025,Practice,Road America,1999 NB Miata,8,32.38,2:50.036,,,,Broken Steering Rack,
9/29/2025,Practice,Road America,1999 NB Miata,7,28.34,2:48.073,,,,,
9/30/2025,Practice,Road America,1999 NB Miata,8,32.38,2:46.647,,,,,
9/30/2025,Practice,Road America,1999 NB Miata,10,40.48,2:45.650,,,,,
9/30/2025,Practice,Road America,1999 NB Miata,8,32.38,2:47.348,,,,,
10/1/2025,Practice,Road America,1999 NB Miata,9,36.43,2:44.950,,,,,
10/1/2025,Practice,Road America,1999 NB Miata,10,40.48,2:46.444,,,,,
10/3/2025,Quali,Road America,1999 NB Miata,7,28.34,2:46.422,,28,,"Hot Day, not good teamwork. Previous day had +2 sec faster quali times. I did not participate in Quali 1 due to Yom Kippur",
10/4/2025,Race,Road America,1999 NB Miata,13,52.62,2:48.47,,28,22,"Early fight, lost pack... terrible",
10/24/2025,Practice,LimeRock,1999 NB Miata,19,29.07,1:04.122,,13,,,
10/24/2025,Practice,LimeRock,1999 NB Miata,15,22.95,1:02.757,,9,,,
10/24/2025,Quali,LimeRock,1999 NB Miata,11,16.83,1:03.258,,12,,,
10/24/2025,Race,LimeRock,1999 NB Miata,23,35.19,1:03.377,,12,11,,
10/25/2025,Race,LimeRock,1999 NB Miata,23,35.19,1:02.024,,11,7,,
10/25/2025,Race,LimeRock,1999 NB Miata,27,41.31,1:02.68,,7,8,,
10/25/2025,Race,LimeRock,1999 NB Miata,68,104.04,1:02.618,,,8,,
11/14/2025,Practice,NJMP Thunderbolt,2002 BMW 330Ci,22,49.50,1:40.238,,,,Martinelli car #642. Car had an open diff and absolutely could not put its power down on exits.,
11/15/2025,Race,NJMP Thunderbolt,2002 BMW 330Ci,135,303.75,1:34.970,,8,7,"2 stints in #642 and 1 stint in #696. 696 understeered a lot, but was able to get its power down on exit (though still having an open diff). Doug White, their fastest driver, ran a 1:34.7. ",
2/27/2026,Quali,Barber,2002 BMW 330Ci,14,33.32,1:43.622,,5,,First actual stint in track/car. Previous practice stint was cut after 2 laps due to ABS sensor malfunction,
2/28/2026,Race,Barber,2002 BMW 330Ci,108,257.04,1:43.084,,5,2,Woot woot,
3/1/2026,Race,Barber,2002 BMW 330Ci,97,230.86,1:43.417,,6,4,,
5/1/2026,Race,Watkins Glen,1997 Acura Integra,19,65.55,2:16.472,,,1,AER,
5/2/2026,Race,Watkins Glen,1997 Acura Integra,21,72.45,2:14.260,,,3,AER,
